iter	Passed	Remaining
0	1	158
1	2	129
2	3	115
3	4	107
4	5	105
5	7	115
6	9	122
7	11	131
8	13	134
9	14	129
10	15	126
11	16	123
12	18	121
13	19	117
14	20	118
15	22	118
16	24	118
17	25	116
18	27	115
19	28	113
20	30	113
21	31	111
22	32	109
23	33	107
24	35	106
25	37	106
26	39	105
27	40	104
28	41	101
29	42	99
30	43	97
31	44	95
32	45	93
33	47	91
34	48	90
35	50	89
36	52	89
37	54	88
38	55	87
39	56	85
40	58	83
41	58	81
42	59	79
43	60	77
44	61	75
45	63	74
46	64	73
47	66	72
48	68	71
49	69	69
50	70	67
51	71	66
52	72	64
53	74	63
54	74	61
55	76	59
56	77	58
57	79	57
58	80	55
59	81	54
60	83	53
61	84	51
62	85	50
63	86	48
64	87	47
65	88	45
66	89	44
67	90	42
68	93	41
69	94	40
70	95	39
71	97	37
72	98	36
73	99	35
74	101	33
75	102	32
76	103	31
77	105	29
78	106	28
79	108	27
80	109	25
81	111	24
82	112	23
83	113	21
84	115	20
85	116	18
86	117	17
87	118	16
88	119	14
89	122	13
90	123	12
91	125	10
92	126	9
93	136	8
94	137	7
95	139	5
96	141	4
97	142	2
98	144	1
99	145	0
